2025-12-03 02:29:49 status unpacked init-system-helpers:all 1.69+kali1
2025-12-03 02:29:49 status half-configured init-system-helpers:all 1.69+kali1
2025-12-03 02:29:49 status installed init-system-helpers:all 1.69+kali1
2025-12-03 02:29:49 configure gcc-15-base:amd64 15.2.0-7 <none>
2025-12-03 02:29:49 status unpacked gcc-15-base:amd64 15.2.0-7
2025-12-03 02:29:49 status half-configured gcc-15-base:amd64 15.2.0-7
2025-12-03 02:29:49 status installed gcc-15-base:amd64 15.2.0-7
2025-12-03 02:29:49 configure libgcc-s1:amd64 15.2.0-7 <none>
2025-12-03 02:29:49 status unpacked libgcc-s1:amd64 15.2.0-7
2025-12-03 02:29:49 status half-configured libgcc-s1:amd64 15.2.0-7
2025-12-03 02:29:49 status installed libgcc-s1:amd64 15.2.0-7
2025-12-03 02:29:49 configure libc6:amd64 2.41-12 <none>
2025-12-03 02:29:49 status unpacked libc6:amd64 2.41-12
2025-12-03 02:29:49 status half-configured libc6:amd64 2.41-12
2025-12-03 02:29:49 status installed libc6:amd64 2.41-12
2025-12-03 02:29:49 configure libdb5.3t64:amd64 5.3.28+dfsg2-10 <none>
2025-12-03 02:29:49 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-12-03 02:29:49 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-12-03 02:29:49 status installed libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-12-03 02:29:49 configure libudev1:amd64 259~rc1-1 <none>
2025-12-03 02:29:49 status unpacked libudev1:amd64 259~rc1-1
2025-12-03 02:29:49 status half-configured libudev1:amd64 259~rc1-1
2025-12-03 02:29:49 status installed libudev1:amd64 259~rc1-1
2025-12-03 02:29:49 configure libmd0:amd64 1.1.0-2+b1 <none>
2025-12-03 02:29:49 status unpacked libmd0:amd64 1.1.0-2+b1
2025-12-03 02:29:49 status half-configured libmd0:amd64 1.1.0-2+b1
2025-12-03 02:29:49 status installed libmd0:amd64 1.1.0-2+b1
2025-12-03 02:29:49 configure libxxhash0:amd64 0.8.3-2 <none>
2025-12-03 02:29:49 status unpacked libxxhash0:amd64 0.8.3-2
2025-12-03 02:29:49 status half-configured libxxhash0:amd64 0.8.3-2
2025-12-03 02:29:49 status installed libxxhash0:amd64 0.8.3-2
2025-12-03 02:29:49 configure libattr1:amd64 1:2.5.2-3 <none>
2025-12-03 02:29:49 status unpacked libattr1:amd64 1:2.5.2-3
2025-12-03 02:29:49 status half-configured libattr1:amd64 1:2.5.2-3
2025-12-03 02:29:49 status installed libattr1:amd64 1:2.5.2-3
2025-12-03 02:29:49 configure sysvinit-utils:amd64 3.15-6 <none>
2025-12-03 02:29:49 status unpacked sysvinit-utils:amd64 3.15-6
2025-12-03 02:29:49 status half-configured sysvinit-utils:amd64 3.15-6
2025-12-03 02:29:49 status installed sysvinit-utils:amd64 3.15-6
2025-12-03 02:29:49 configure debianutils:amd64 5.23.2 <none>
2025-12-03 02:29:49 status unpacked debianutils:amd64 5.23.2
2025-12-03 02:29:49 status half-configured debianutils:amd64 5.23.2
2025-12-03 02:29:49 status installed debianutils:amd64 5.23.2
2025-12-03 02:29:49 configure mawk:amd64 1.3.4.20250131-1 <none>
2025-12-03 02:29:49 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:49 status half-configured mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:49 status installed mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:49 configure libdebconfclient0:amd64 0.281 <none>
2025-12-03 02:29:49 status unpacked libdebconfclient0:amd64 0.281
